lng,lat,Name,description,altitudeMode,X_ADDR,Y_ADDR,NAME2,HYPERLINK,PHOTOURL,Last Modified,Latitude,FMEL_UPD_D,Longtitude,Opening Hours,SHAPE,ADDRESSPOSTALCODE,URL Path,ADDRESSSTREETNAME,INC_CRC,Image Text,DESCRIPTION2,Field_1,Image By,Description3
103.84763,1.28094,"Thian Hock Keng Temple, Singapore","Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.",clampToGround,29592.7445,29265.3615,,"<a target=""_blank"" href=""http://www.thianhockkeng.com.sg"">http://www.thianhockkeng.com.sg</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/thian-hock-kheng-temple-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/thian-hock-kheng-temple-carousel01-rect.jpg</a>",2015-11-02T10:20:57.245+08:00,1.28094,1/9/2017 14:59,103.84763,"Daily, 7.30am ?€? 5.30pm",Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/thian-hock-keng-temple.html"">www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/thian-hock-keng-temple.html</a>",158 Telok Ayer Street,D5D3E3930E0C117F,"The Thian Hock Keng Temple in Singapore is dedicated to Mazu, the Goddess of the Sea.",,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/thian-hock-keng-temple.html,Joel Chua DY,
103.89942,1.31007,Eurasian Heritage Centre: Singapore Attraction,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,clampToGround,35356.4676,32486.4992,,"<a target=""_blank"" href=""http://www.eurasians.org.sg/"">http://www.eurasians.org.sg/</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/eurasian-heritage-centre-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/eurasian-heritage-centre-carousel01-rect.jpg</a>",2015-11-02T10:13:25.883+08:00,1.31007,1/9/2017 14:59,103.89942,"Tuesday to Sunday, 9am ?€? 6pm, Closed on Monday",Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/eurasian-heritage-centre.html"">www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/eurasian-heritage-centre.html</a>",139 Ceylon Road,9CB05BD01BA1715C,Discover the history and culture of the Eurasian community in Singapore.,,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/eurasian-heritage-centre.html,Joel Chua DY,
103.8373356,1.2772186,Shophouses,"Few buildings epitomise our culture as fully as the shophouse, with its surprisingly harmonious mix of diverse design elements.",clampToGround,28447.0623,28853.8642,,,"<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/shophouses-typology-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/shophouses-typology-carousel01-rect.jpg</a>",2015-11-02T10:15:26.429+08:00,1.277219,1/9/2017 14:59,103.837336,,Point,0,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/architecture/historical/shophouses-typology.html"">www.yoursingapore.com/en/see-do-singapore/architecture/historical/shophouses-typology.html</a>",,720A9127274D4EF2,The varying styles of Singapore's shophouses are a showcase of our evolving architecture.,,www.yoursingapore.com/en/see-do-singapore/architecture/historical/shophouses-typology.html,,
103.84142,1.27549,Pinnacle@Duxton,"With its lofty towers and dizzying sky gardens, the Pinnacle at Duxton takes residential living to soaring new heights.",clampToGround,28901.624,28662.7257,,"<a target=""_blank"" href=""http://www.pinnacleduxton.com.sg"">http://www.pinnacleduxton.com.sg</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-pinnacle-duxton-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-pinnacle-duxton-carousel01-rect.jpg</a>",2015-11-02T09:37:49.535+08:00,1.27549,1/9/2017 14:59,103.84142,"50th storey Skybridge, Daily, 9am ?€?10pm",Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/architecture/modern/pinnacle-at-duxton.html"">www.yoursingapore.com/en/see-do-singapore/architecture/modern/pinnacle-at-duxton.html</a>",1 Cantonment Road,2C6A0BFEF4508DE7,The Pinnacle@Duxton's architecture is a refreshing change in a sea of concrete blocks.,,www.yoursingapore.com/en/see-do-singapore/architecture/modern/pinnacle-at-duxton.html,Malcolm Tredinnick,
103.78314,1.28551,Haw Par Villa: Singapore Theme Park,A visit to the Haw Par Villa theme park is an unforgettable journey into Chinese folklore and mythology.,clampToGround,22415.5418,29770.739,,,,2015-11-02T10:03:18.577+08:00,1.28551,1/9/2017 14:59,103.78314,"Daily, 9am ?€? 7pm",Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/haw-par-villa.html"">www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/haw-par-villa.html</a>",262 Pasir Panjang Road,5D5A48757DF05F69,,,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/haw-par-villa.html,,
103.841222,1.29316,Hong San See Temple Singapore,Dancing dragons and prancing phoenixes are just some of the visual delights to catch at the exquisitely restored Hong San See temple.,clampToGround,28879.5822,30616.583,,,,2015-11-02T10:04:31.503+08:00,1.29316,1/9/2017 14:59,103.841222,Daily,Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/architecture/historical/hong-san-see.html"">www.yoursingapore.com/en/see-do-singapore/architecture/historical/hong-san-see.html</a>",31 Mohamed Sultan Road,B87236103D7369A5,,,www.yoursingapore.com/en/see-do-singapore/architecture/historical/hong-san-see.html,,
103.85157,1.29354,Capitol Building Singapore,"Now undergoing massive restoration works, Capitol Building will emerge as Singapore?€?s premier entertainment hub next year.",clampToGround,30031.2246,30658.6073,,"<a target=""_blank"" href=""http://www.capitolsingapore.com"">http://www.capitolsingapore.com</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/capitol-building-carousel01-rect-norender.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/capitol-building-carousel01-rect-norender.jpg</a>",2015-11-02T10:06:38.723+08:00,1.29354,1/9/2017 14:59,103.85157,,Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/architecture/historical/capitol-building-singapore.html"">www.yoursingapore.com/en/see-do-singapore/architecture/historical/capitol-building-singapore.html</a>",11 Stamford Road,C7F2EE424864FB14,The Capitol Building's distinctive facade adds a touch of grandeur to the cityscape.,,www.yoursingapore.com/en/see-do-singapore/architecture/historical/capitol-building-singapore.html,,
103.863613,1.281568,Gardens by the Bay,"Biodomes, baobabs and the blossoming bounty of every conceivable plant will bowl you over at Gardens by the Bay.",clampToGround,31371.5217,29334.818,,"<a target=""_blank"" href=""http://www.gardensbythebay.com.sg"">http://www.gardensbythebay.com.sg</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/gardens-by-the-bay-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/gardens-by-the-bay-carousel01-rect.jpg</a>",2015-11-02T09:42:14.206+08:00,1.281568,1/9/2017 14:59,103.863613,"Outdoor Gardens: 5am ?€? 2am,Conservatories: 9am ?€? 9pm,OCBC Skyway: 9am ?€? 9pm",Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/architecture/modern/gardens-by-the-bay.html"">www.yoursingapore.com/en/see-do-singapore/architecture/modern/gardens-by-the-bay.html</a>",18 Marina Gardens Drive,FA494CA6D6146237,"Gardens by the Bay seamlessly blends sleek design, cutting-edge technology and fun.",,www.yoursingapore.com/en/see-do-singapore/architecture/modern/gardens-by-the-bay.html,,
103.80305,1.28199,The Interlace,"Few buildings demonstrate out-of-the-box thinking as well as The Interlace, an intriguingly designed residential complex.",clampToGround,24631.3547,29381.4805,,"<a target=""_blank"" href=""http://www.theinterlace.com"">http://www.theinterlace.com</a>",,2015-11-02T09:19:31.553+08:00,1.28199,1/9/2017 14:59,103.80305,,Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/architecture/modern/the-interlace.html"">www.yoursingapore.com/en/see-do-singapore/architecture/modern/the-interlace.html</a>",180-226 Depot Road,D95F49E8D6A32926,,,www.yoursingapore.com/en/see-do-singapore/architecture/modern/the-interlace.html,,
103.8516,1.3029,Lasalle College of the Arts,"Lasalle College of the Arts evokes awe with its bold, graphic lines and stunning reinterpretation of nature.",clampToGround,30034.5559,31693.5879,,"<a target=""_blank"" href=""https://www.lasalle.edu.sg"">https://www.lasalle.edu.sg</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/503-lasalle-college-of-the-arts-carousel01-rect..jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/503-lasalle-college-of-the-arts-carousel01-rect..jpg</a>",2015-11-02T09:49:08.755+08:00,1.3029,1/9/2017 14:59,103.8516,"Administration Office, Monday to Friday, 9am to 6pm. Visitors can still walk around the campus after office opening hours",Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/architecture/modern/lasalle-college-of-the-arts.html"">www.yoursingapore.com/en/see-do-singapore/architecture/modern/lasalle-college-of-the-arts.html</a>",1 McNally Street,C3B4EB77BCC4F51D,Lasalle College of the Arts pushes the boundaries of creativity in architecture,,www.yoursingapore.com/en/see-do-singapore/architecture/modern/lasalle-college-of-the-arts.html,Lasalle College of the Arts,
103.8336,1.28351,SIT Flats Singapore,The Art Deco elegance of the flats in Tiong Bahru speak of the richness of a vanished world.,clampToGround,28031.3197,29549.5343,,,"<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/sit-flat-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/sit-flat-carousel01-rect.jpg</a>",2015-11-02T10:09:11.340+08:00,1.28351,1/9/2017 14:59,103.8336,,Point,0,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/architecture/historical/sit-flats.html"">www.yoursingapore.com/en/see-do-singapore/architecture/historical/sit-flats.html</a>",Seng Poh Road and Tiong Bahru Road,DA27CAA0D434D73E,The charm of Tiong Bahru comes to life through its Art Deco architecture.,,www.yoursingapore.com/en/see-do-singapore/architecture/historical/sit-flats.html,,
103.85044,1.28072,Lau Pa Sat Singapore,"The historic market Lau Pa Sat offers a winning combination of graceful colonial architecture, a longstanding heritage and delicious food.",clampToGround,29905.4748,29241.037,,"<a target=""_blank"" href=""http://www.laupasat.biz"">http://www.laupasat.biz</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/lau-pa-sat-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/lau-pa-sat-carousel01-rect.jpg</a>",2015-11-02T09:59:12.640+08:00,1.28072,1/9/2017 14:59,103.85044,"Daily, 24 hours",Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/architecture/historical/lau-pa-sat.html"">www.yoursingapore.com/en/see-do-singapore/architecture/historical/lau-pa-sat.html</a>",18 Raffles Quay,A9FB88B3B9A04B47,"Lau Pa Sat blends graceful colonial architecture, heritage and delicious food.",,www.yoursingapore.com/en/see-do-singapore/architecture/historical/lau-pa-sat.html,,
103.8492,1.29421,Peranakan Museum Singapore: History &amp; Culture,"At the Peranakan Museum, get to know Singapore?€?s vibrant Peranakan community and its eclectic culture and history with fun and interactive exhibits.",clampToGround,29767.4637,30732.6907,,"<a target=""_blank"" href=""http://peranakanmuseum.org.sg/"">http://peranakanmuseum.org.sg/</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/peranakan-museum-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/peranakan-museum-carousel01-rect.jpg</a>",2015-11-02T10:11:13.152+08:00,1.29421,1/9/2017 14:59,103.8492,"Saturday to Thursday, 10am ?€? 7pm, Friday, 10am ?€? 9pm",Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/peranakan-museum.html"">www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/peranakan-museum.html</a>",39 Armenian Street,01811F6A8AC24C77,"Many communities, one nation. Find out more about our people, such as the ubiquitous Peranakans.",,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/peranakan-museum.html,,
103.80459,1.2784,Gillman Barracks ?€? YourSingapore,"Gillman Barracks Singapore is Asia?€?s vibrant new destination for the creation, exhibition and discussion of contemporary art.",clampToGround,24802.7396,28984.5149,,"<a target=""_blank"" href=""https://www.gillmanbarracks.com/"">https://www.gillmanbarracks.com/</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/543-GillmanBarracks-Carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/543-GillmanBarracks-Carousel01-rect.jpg</a>",2015-11-03T10:00:29.955+08:00,1.2784,1/9/2017 14:59,103.80459,"Tuesday to Saturday, 11am - 7pm, Sunday, 11am - 6pm , Galleries closed on Monday and public holidays.",Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/arts/performance-arts/gillman-barracks.html"">www.yoursingapore.com/en/see-do-singapore/arts/performance-arts/gillman-barracks.html</a>",9 Lock Road,7C57E40897D81F38,,,www.yoursingapore.com/en/see-do-singapore/arts/performance-arts/gillman-barracks.html,Gillman Barracks,
103.84883,1.29689,National Museum of Singapore,The National Museum of Singapore is a progressive showcase of the country?€?s history and culture.,clampToGround,29726.284,31029.0309,,"<a target=""_blank"" href=""http://nationalmuseum.sg/"">http://nationalmuseum.sg/</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/national-museum-of-singapore-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/national-museum-of-singapore-carousel01-rect.jpg</a>",2015-10-26T14:25:34.625+08:00,1.29689,1/9/2017 14:59,103.84883,"Singapore History Gallery Daily, 10am ?€? 6pm,Last admission at 5.30pm.Singapore Living Galleries Daily, 10am ?€? 8pm Free admission from 6pm ?€?8pm , Last admission at 7.30pm",Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/history/history-museums/national-museum-of-singapore.html"">www.yoursingapore.com/en/see-do-singapore/history/history-museums/national-museum-of-singapore.html</a>",93 Stamford Road,89154246B42FDD93,The National Museum of Singapore building is also an architectural icon that is stunning to behold.,,www.yoursingapore.com/en/see-do-singapore/history/history-museums/national-museum-of-singapore.html,National Heritage Board,
103.87584,1.36431,The Japanese Cemetery Park,"The Japanese Cemetery Park is the largest Japanese cemetery in Southeast Asia, containing nearly 1,000 graves of Singapore?€?s early Japanese community.",clampToGround,32732.1305,38484.0255,,,"<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/japanese-cemetery-park-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/japanese-cemetery-park-carousel01-rect.jpg</a>",2015-10-26T14:42:00.436+08:00,1.36431,1/9/2017 14:59,103.87584,Daily,Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/history/memorials/japanese-cemetery-park.html"">www.yoursingapore.com/en/see-do-singapore/history/memorials/japanese-cemetery-park.html</a>",825B Chuan Hoe Avenue,BC34A1671E3AE3E2,"The Japanese Cemetery Park holds the ashes of thousands of Japanese soldiers, marines and airmen killed during World War II.",,www.yoursingapore.com/en/see-do-singapore/history/memorials/japanese-cemetery-park.html,,
103.8487,1.29294,Singapore Philatelic Museum,The Philatelic Museum offers visitors postage stamp-sized windows into Singapore and the rest of the world.,clampToGround,29711.8189,30592.2602,,"<a target=""_blank"" href=""http://spm.org.sg"">http://spm.org.sg</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-philatetic-museum-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-philatetic-museum-carousel01-rect.jpg</a>",2015-10-26T14:31:26.106+08:00,1.29294,1/9/2017 14:59,103.8487,"Monday, 1pm ?€? 7pm,Tuesday to Sunday, 9.30am ?€? 7pm",Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/history/history-museums/philatelic-museum.html"">www.yoursingapore.com/en/see-do-singapore/history/history-museums/philatelic-museum.html</a>",23-B Coleman Street,04A519207A664846,Take a colourful trip back in time at this Singapore museum dedicated to postage stamps and related materials.,,www.yoursingapore.com/en/see-do-singapore/history/history-museums/philatelic-museum.html,Singapore Philatelic Museum,
103.853027,1.288483,Lim Bo Seng Memorial,The gazetted Lim Bo Seng Memorial at Esplanade Park commemorates one of Singapore?€?s heroes from World War II.,clampToGround,30193.3804,30099.4315,,"<a target=""_blank"" href=""http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials"">http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/lim-bo-seng-memorial-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/lim-bo-seng-memorial-carousel01-rect.jpg</a>",2015-10-26T15:07:36.240+08:00,1.288483,1/9/2017 14:59,103.853027,Daily,Point,0,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/history/memorials/lim-bo-seng-memorial.html"">www.yoursingapore.com/en/see-do-singapore/history/memorials/lim-bo-seng-memorial.html</a>","Esplanade Park, Connaught Drive",7D3A056808CD2ACE,The Lim Bo Seng Memorial commemorates one of Singapore's heroes from World War II.,,www.yoursingapore.com/en/see-do-singapore/history/memorials/lim-bo-seng-memorial.html,,
103.75749,1.41903,Kranji War Memorial Landmark in Singapore,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.,clampToGround,19561.3701,44534.7824,,"<a target=""_blank"" href=""http://bit.ly/19MZ0SB"">http://bit.ly/19MZ0SB</a>","<a target=""_blank"" href=""http://www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/kranji-war-memorial-carousel01-rect.jpg"">www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/kranji-war-memorial-carousel01-rect.jpg</a>",2015-10-26T15:19:50.818+08:00,1.41903,1/9/2017 14:59,103.75749,"Daily, 8am ?€? 6.30pm",Point,,"<a target=""_blank"" href=""http://www.yoursingapore.com/en/see-do-singapore/history/memorials/kranji-war-memorial.html"">www.yoursingapore.com/en/see-do-singapore/history/memorials/kranji-war-memorial.html</a>",9 Woodlands Road,AFF4B707DB860EE4,"The serene Kranji War Memorial, Singapore is a hillside cemetery set in a quiet neighbourhood.",,www.yoursingapore.com/en/see-do-singapore/history/memorials/kranji-war-memorial.html,,
