lng,lat,name_of_centre,location_of_centre,type_of_centre,owner,no_of_stalls,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,Rating
103.81409,1.32409,Adam Road Food Centre,"2, Adam Road, S(289876)",HC,Government,32,32,0,4.1
103.84663,1.27917,Amoy Street Food Centre,"National Development Building, Annex B, Telok Ayer Street, S(069111)",HC,Government,135,134,1,4.3
103.98233,1.38982,Bedok Food Centre,"1, Bedok Road, S(469572)",HC,Government,32,32,0,4.2
103.82752,1.28872,Beo Crescent Market,"38A, Beo Crescent, S(169982)",MHC,Government,94,32,62,4
103.85681,1.30737,Berseh Food Centre,"166, Jalan Besar, S(208877)",HC,Government,66,66,0,4.1
103.77601,1.33945,Bukit Timah Market,"51, Upper Bukit Timah Road, S(588215)",MHC,Government,179,84,95,4.1
103.86649,1.36427,Chomp Chomp Food Centre,"20, Kensington Park Road, S(557269)",HC,Government,36,36,0,4.2
103.80037,1.3069,Commonwealth Crescent Market,"31, Commonwealth Crescent, S(149644)",MHC,Government,102,39,63,4
103.90184,1.30939,Dunman Food Centre,"271, Onan Road, S(424768)",HC,Government,30,30,0,4
103.93514,1.30691,East Coast Lagoon Food Village,"1220, East Coast Parkway, S(468960)",HC,Government,63,63,0,4.3
103.8981,1.31668,Geylang Serai Market,"Geylang Serai, S(402001)",MHC,Government,365,63,302,4.3
103.86392,1.30293,Golden Mile Food Centre,"505, Beach Road, S(199583)",MHC,Government,223,112,111,4.2
103.79488,1.31107,Holland Village Market & Food Centre,"1, Lorong Mambong, S(277700)",MHC,Government,69,21,48,4
103.88405,1.30749,Kallang Estate Market,"17, Old Airport Road, S(397972)",MHC,Government,94,16,78,4.1
103.85009,1.28407,Market Street Food Centre,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)",HC,Government,76,76,0,4.4
103.84462,1.28044,Maxwell Food Centre,"1, Kadayanallur Street, S(069184)",HC,Government,103,103,0,4.3
103.83956,1.31191,Newton Food Centre,"500, Clemenceau Ave North, S(229495)",HC,Government,83,83,0,4.2
103.86391,1.30563,North Bridge Road Market & Food Centre,"861, North Bridge Road, S(198783)",MHC,Government,119,37,82,4
103.79125,1.27597,Pasir Panjang Food Centre,"121, Pasir Panjang Road, S(118543)",HC,Government,45,45,0,4
103.86663,1.36347,Serangoon Garden Market,"49A, Serangoon Garden Way, S(555945)",MHC,Government,82,46,36,4.1
103.82902,1.37232,Sembawang Hill Food Centre,"590, Upper Thomson Road, S(574419)",HC,Government,36,36,0,3.9
103.72155,1.33466,Taman Jurong Market & Food Centre,"3, Yung Sheng Road, S(618499)",MHC,Government,180,123,57,4.2
103.79757,1.30037,Tanglin Halt Market,"48A, Tanglin Halt Road, S(148813)",MHC,Government,117,28,89,4.1
103.8324,1.28504,Tiong Bahru Market,"30, Seng Poh Road, S(168898)",MHC,Government,342,83,259,4.3
103.83137,1.29239,Zion Riverside Food Centre,"70, Zion Road, S(247792)",HC,Government,32,32,0,4.2
103.80809,1.28698,ABC Brickworks Market & Food Centre,"Blk 6, Jalan Bukit Merah, S(150006)",MHC,HDB,144,96,48,4.2
103.85424,1.30097,Albert Centre Market & Food Centre,"Blk 270, Queen Street, S(180270)",MHC,HDB,234,86,148,4.1
103.80452,1.28619,Alexandra Village Food Centre,"Blk 120, Bukit Merah Lane, S(150120)",HC,HDB,88,88,0,4.2
103.8398,1.28822,Blk 1 Jalan Kukoh,"Blk 1, Jalan Kukoh, S(161001)",HC,HDB,21,21,0,3.7
103.8901,1.35451,Blk 105 Hougang Ave 1,"Blk 105, Hougang Ave 1, S(530105)",MHC,HDB,171,51,120,4.1
103.81865,1.27737,Blk 11 Telok Blangah Crescent,"Blk 11, Telok Blangah Crescent, S(090011)",MHC,HDB,133,56,77,4
103.82601,1.28,Blk 112 Jalan Bukit Merah,"Blk 112, Jalan Bukit Merah, S(160112)",MHC,HDB,80,22,58,4
103.82182,1.2855,Blk 115 Bukit Merah View,"Blk 115, Bukit Merah View, S(151115)",MHC,HDB,182,84,98,4.1
103.88384,1.32102,Blk 117 Aljunied Ave 2,"Blk 117, Aljunied Ave 2, S(380117)",MHC,HDB,161,79,82,3.9
