lng,lat,Name,description,HYPERLINK,POSTALCODE,KEEPERNAME,TOTALROOMS,ADDRESS,INC_CRC,FMEL_UPD_D,DESCRIPTION2,NAME2
103.8392241,1.300509542,JEN Singapore Orchardgateway by Shangri-La,,singaporeorchardgateway@hoteljen.com,238858,Kuok Oon Kwong,499,"277 Orchard Road , # 10-01",BE1CAD1F9EA0CAE3,2.02101E+13,,
103.8239124,1.304270531,JEN Singapore Tanglin by Shangri-La,,singaporetanglin@hoteljen.com,249716,Kuok Oon Kwong,565,1A Cuscaden Road,B5529ACF9E6012E4,2.02101E+13,,
103.8774602,1.311585869,JH HOTEL,,anguskt@gmail.com,399041,CHEN ZHIQIONG,42,8 LORONG 10 GEYLANG,A22CE6E92D6AEBF0,2.02101E+13,,
103.8444551,1.29772284,Ji Hotel Orchard Singapore,,,238485,Koo Sheuan,81,11 PENANG LANE INNOTEL,66BD9D0F880BBBD4,2.02101E+13,,
103.8788067,1.31022734,Jin Dong Hotel,,,399007,ong kum fatt,33,33 Lorong 12 Geylang,D7209ADD0712A1B6,2.02101E+13,,
103.87396,1.311183012,Joyfor Singapore,,joyfor.sg@gmail.com,389226,Koo Seck Chong,17,135 Geylang Road,D30116664B182FD0,2.02101E+13,,
103.8555161,1.294652906,JW Marriott Hotel Singapore South Beach,,jw.sinjw.contactus@marriott.com,189763,STEPHANE LOUIS FABREGOUL,634,30 Beach Road,7A601D8BEC62E672,2.02101E+13,,
103.8765023,1.309994242,K Hotel,,,399199,CAI WENCHAO,56,44 LORONG 6 GEYLANG,0BE03789A9C46C8B,2.02101E+13,,
103.9045742,1.304853368,Holiday Inn Express Singapore Katong,,,423371,Adel Aramouni,451,"88 EAST COAST ROAD, # 07-05 KATONG SQUARE",5849E01E116E3183,2.02101E+13,,
103.8366804,1.303227956,Holiday Inn Express Singapore Orchard Road,,info.sinex@ihg.com,229921,Najeeb Kurungottu,221,20 Bideford Road,1E17B0CDF1E7CDA8,2.02101E+13,,
103.8586303,1.31014109,Holiday Inn Express Singapore Serangoon,,,209019,Garside Ashleigh Maree,119,270 JALAN BESAR,F42B9FBA63112392,2.02101E+13,,
103.8340683,1.289070192,Holiday Inn Singapore Atrium,,hiatrium@ichotelsgroup.com,169075,Tuncay Bockin,518,317 Outram Road,11EF65BD203685B9,2.02101E+13,,
103.8411016,1.302279125,Holiday Inn Singapore Orchard City Centre,,info.hisinorchard@ihg.com,229616,Gobind Naroomal Gary Harilela @Gary Harilela,324,11 Cavenagh Road,789DE80F5E0211C0,2.02101E+13,,
103.8781213,1.311400431,Home Suite View Hotel,,homesuite12@gmail.com,398993,SWEE WEIDI,175,12 Lorong 12 Geylang,01012B339B2217D5,2.02101E+13,,
103.8530696,1.321703139,Hoover Hotel,,,329706,Lim Choon Hua,42,"246 Balestier Road , # 02-01",EFBE8B5CA40442B0,2.02101E+13,,
103.856274,1.310478926,Hotel 165,,jackson@hotel165.sg,208532,Siah Wei Bin,68,165 Kitchener Road,9B96822662A98D40,2.02101E+13,,
103.8524227,1.300963164,Ibis Singapore on Bencoolen,,H6657@accor.com,189657,David Malcolm Lane,538,170 Bencoolen Street,CE29B88E538416F1,2.02101E+13,,
103.8248974,1.304673224,The Regent Singapore,,reservations@regentsingapore.com.sg,249715,Oscar Joan Giorgius Postma,440,1 Cuscaden Road,0483F038CB574301,2.02101E+13,,
103.8581441,1.315592309,K Space Inn 569,,,218184,CAI WENCHAO,7,569 SERANGOON ROAD 60'S HOSTEL,732F33D9582A2253,2.02101E+13,,
103.9120405,1.308696956,RedDoorz near Marine Parade Central,,,428996,AMIT SABERWAL,62,400 EAST COAST ROAD GARDEN TERRACE HOTEL,4DB366809E651AA1,2.02101E+13,,
103.8801191,1.311791404,Hotel 81 - Palace,,hotel81@hotel81.com.sg,398867,Chu Poh Yong,192,25 Lorong 16 Geylang,6FD6C20143A9880D,2.02101E+13,,
103.8532704,1.32124007,Value Hotel - Balestier,,valuehotel@valuehotel.com.sg,329684,Chu Poh Yong,208,218 Balestier Road,EC3E7E349FA619EE,2.02101E+13,,
103.8531233,1.321380466,Hotel 81 - Balestier,,hotel81@hotel81.com.sg,329688,Chu Poh Yong,53,226 Balestier Road,30C90C6B5398385C,2.02101E+13,,
103.8556186,1.296878534,Hotel 81 - Bugis,,hotel81@hotel81.com.sg,188995,Chu Poh Yong,88,31 Middle Road,15B1260EA042F00D,2.02101E+13,,
103.9117291,1.318691156,Hotel 81 - Changi,,hotel81@hotel81.com.sg,419871,Chu Poh Yong,80,"428 Changi Road , # 01-01",26435B9826BFF5F1,2.02101E+13,,
103.8784174,1.311991277,Hotel 81 - Cherry,,hotel81@hotel81.com.sg,399014,Chu Poh Yong,53,3 Lorong 12 Geylang,7B3DF51643724BE4,2.02101E+13,,
