name_of_centre,location_of_centre,type_of_centre,owner,no_of_stalls,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,Rating,Latitude,Longitude
Adam Road Food Centre,"2, Adam Road, S(289876)",HC,Government,32,32,0,4.1,1.32409,103.81409
Amoy Street Food Centre,"National Development Building, Annex B, Telok Ayer Street, S(069111)",HC,Government,135,134,1,4.3,1.27917,103.84663
Bedok Food Centre,"1, Bedok Road, S(469572)",HC,Government,32,32,0,4.2,1.38982,103.98233
Beo Crescent Market,"38A, Beo Crescent, S(169982)",MHC,Government,94,32,62,4,1.28872,103.82752
Berseh Food Centre,"166, Jalan Besar, S(208877)",HC,Government,66,66,0,4.1,1.30737,103.85681
Bukit Timah Market,"51, Upper Bukit Timah Road, S(588215)",MHC,Government,179,84,95,4.1,1.33945,103.77601
Chomp Chomp Food Centre,"20, Kensington Park Road, S(557269)",HC,Government,36,36,0,4.2,1.36427,103.86649
Commonwealth Crescent Market,"31, Commonwealth Crescent, S(149644)",MHC,Government,102,39,63,4,1.3069,103.80037
Dunman Food Centre,"271, Onan Road, S(424768)",HC,Government,30,30,0,4,1.30939,103.90184
East Coast Lagoon Food Village,"1220, East Coast Parkway, S(468960)",HC,Government,63,63,0,4.3,1.30691,103.93514
Geylang Serai Market,"Geylang Serai, S(402001)",MHC,Government,365,63,302,4.3,1.31668,103.8981
Golden Mile Food Centre,"505, Beach Road, S(199583)",MHC,Government,223,112,111,4.2,1.30293,103.86392
Holland Village Market & Food Centre,"1, Lorong Mambong, S(277700)",MHC,Government,69,21,48,4,1.31107,103.79488
Kallang Estate Market,"17, Old Airport Road, S(397972)",MHC,Government,94,16,78,4.1,1.30749,103.88405
Market Street Food Centre,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)",HC,Government,76,76,0,4.4,1.28407,103.85009
Maxwell Food Centre,"1, Kadayanallur Street, S(069184)",HC,Government,103,103,0,4.3,1.28044,103.84462
Newton Food Centre,"500, Clemenceau Ave North, S(229495)",HC,Government,83,83,0,4.2,1.31191,103.83956
North Bridge Road Market & Food Centre,"861, North Bridge Road, S(198783)",MHC,Government,119,37,82,4,1.30563,103.86391
Pasir Panjang Food Centre,"121, Pasir Panjang Road, S(118543)",HC,Government,45,45,0,4,1.27597,103.79125
Serangoon Garden Market,"49A, Serangoon Garden Way, S(555945)",MHC,Government,82,46,36,4.1,1.36347,103.86663
Sembawang Hill Food Centre,"590, Upper Thomson Road, S(574419)",HC,Government,36,36,0,3.9,1.37232,103.82902
Taman Jurong Market & Food Centre,"3, Yung Sheng Road, S(618499)",MHC,Government,180,123,57,4.2,1.33466,103.72155
Tanglin Halt Market,"48A, Tanglin Halt Road, S(148813)",MHC,Government,117,28,89,4.1,1.30037,103.79757
Tiong Bahru Market,"30, Seng Poh Road, S(168898)",MHC,Government,342,83,259,4.3,1.28504,103.8324
Zion Riverside Food Centre,"70, Zion Road, S(247792)",HC,Government,32,32,0,4.2,1.29239,103.83137
ABC Brickworks Market & Food Centre,"Blk 6, Jalan Bukit Merah, S(150006)",MHC,HDB,144,96,48,4.2,1.28698,103.80809
Albert Centre Market & Food Centre,"Blk 270, Queen Street, S(180270)",MHC,HDB,234,86,148,4.1,1.30097,103.85424
Alexandra Village Food Centre,"Blk 120, Bukit Merah Lane, S(150120)",HC,HDB,88,88,0,4.2,1.28619,103.80452
Blk 1 Jalan Kukoh,"Blk 1, Jalan Kukoh, S(161001)",HC,HDB,21,21,0,3.7,1.28822,103.8398
Blk 105 Hougang Ave 1,"Blk 105, Hougang Ave 1, S(530105)",MHC,HDB,171,51,120,4.1,1.35451,103.8901
Blk 11 Telok Blangah Crescent,"Blk 11, Telok Blangah Crescent, S(090011)",MHC,HDB,133,56,77,4,1.27737,103.81865
Blk 112 Jalan Bukit Merah,"Blk 112, Jalan Bukit Merah, S(160112)",MHC,HDB,80,22,58,4,1.28,103.82601
Blk 115 Bukit Merah View,"Blk 115, Bukit Merah View, S(151115)",MHC,HDB,182,84,98,4.1,1.2855,103.82182
Blk 117 Aljunied Ave 2,"Blk 117, Aljunied Ave 2, S(380117)",MHC,HDB,161,79,82,3.9,1.32102,103.88384
Blk 127 Toa Payoh Lorong 1,"Blk 127, Lorong 1 Toa Payoh, S(310127)",MHC,HDB,148,40,108,4.1,1.33814,103.8447
Blk 137 Tampines Street 11,"Blk 137, Tampines Street 11, S(521137)",MHC,HDB,144,45,99,4.1,1.34579,103.94459
Blk 159 Mei Chin Road,"Blk 159, Mei Chin Road, S(140159)",MHC,HDB,113,47,66,4,1.2933,103.80271
Blk 16 Bedok South Road,"Blk 16, Bedok South Road, S(460016)",MHC,HDB,194,64,130,4.1,1.32129,103.93696
Blk 163 Bukit Merah Central,"Blk 163, Bukit Merah Central, S(150163)",HC,HDB,57,57,0,4,1.28366,103.817
Blk 17 Upper Boon Keng Road,"Blk 17, Upper Boon Keng Road, S(380017)",MHC,HDB,144,84,60,4,1.31503,103.87162
Blk 20 Ghim Moh Road,"Blk 20, Ghim Moh Road, S(270020)",MHC,HDB,230,72,158,4.3,1.311,103.78823
Blk 208B New Upper Changi Road,"Blk 208B, New Upper Changi Road, S(462208)",HC,HDB,70,70,0,4.1,1.32474,103.93054
Blk 210 Toa Payoh Lorong 8,"Blk 210, Lorong 8 Toa Payoh, S(310210)",MHC,HDB,157,80,77,4.2,1.34022,103.85487
Blk 216 Bedok North Street 1,"Blk 216, Bedok North Street 1, S(460216)",MHC,HDB,196,82,114,4.2,1.32706,103.93322
Blk 22 Toa Payoh Lorong 7,"Blk 22, Lorong 7 Toa Payoh, S(310022)",MHC,HDB,120,61,59,4.1,1.33538,103.857
Blk 226D Ang Mo Kio Ave 1,"Blk 226D, Ang Mo Kio Ave 1, S(564226)",MHC,HDB,111,10,101,4.1,1.33594,103.83717
Blk 226H Ang Mo Kio Street 22,"Blk 226H, Ang Mo Kio Street 22, S(568226)",HC,HDB,29,29,0,3.9,1.36671,103.83928
Blk 254 Jurong East Street 24,"Blk 254, Jurong East Street 24, S(600254)",MHC,HDB,147,60,87,4,1.33289,103.74364
Blk 29 Bendemeer Road,"Blk 29, Bendemeer Road, S(330029)",MHC,HDB,193,88,105,4.1,1.31922,103.86302
Blk 320 Shunfu Road,"Blk 320, Shunfu Road, S(570320)",MHC,HDB,82,31,51,3.9,1.35201,103.83703
Blk 341 Ang Mo Kio Ave 1,"Blk 341, Ang Mo Kio Ave 1, S(560341)",MHC,HDB,118,32,86,3.9,1.36378,103.84811
Blk 347 Jurong East Ave 1,"Blk 347, Jurong East Ave 1, S(600347)",MHC,HDB,225,56,169,4,1.345,103.73103
Blk 353 Clementi Ave 2,"Blk 353, Clementi Ave 2, S(120353)",MHC,HDB,77,18,59,4,1.31427,103.77079
Blk 36 Telok Blangah Rise,"Blk 36, Telok Blangah Rise, S(090036)",MHC,HDB,53,24,29,3.8,1.27261,103.82203
Blk 37A Teban Gardens Road,"Blk 37A, Teban Garden Road, S(601037)",MHC,HDB,80,28,52,3.9,1.32082,103.74279
Blk 409 Ang Mo Kio Ave 10,"Blk 409, Ang Mo Kio Ave 10, S(560409)",MHC,HDB,142,40,102,4,1.36543,103.85592
Blk 44 Holland Drive,"Blk 44, Holland Drive, S(270044)",MHC,HDB,106,45,61,4.1,1.30841,103.79316
Blk 448 Clementi Ave 3,"Blk 448, Clementi Ave 3, S(120448)",MHC,HDB,143,51,92,4.1,1.3136,103.76456
Blk 453A Ang Mo Kio Ave 10,"Blk 453A, Ang Mo Kio Ave 10, S(561453)",MHC,HDB,222,38,184,4,1.36816,103.85652
Blk 49 Sims Place,"Blk 49, Sims Place, S(380049)",MHC,HDB,144,66,78,4,1.31721,103.87956
Blk 4A Eunos Crescent,"Blk 4A, Eunos Crescent, S(402004)",MHC,HDB,110,42,68,4,1.32042,103.90449
Blk 4A Jalan Batu,"Blk 4A, Jalan Batu, S(432004)",MHC,HDB,66,36,30,3.9,1.30241,103.88392
Blk 4A Woodlands Centre Road,"Blk 4A, Woodlands Centre Road, S(731004)",HC,HDB,78,78,0,4,1.44078,103.7701
Blk 502 West  Coast Drive,"Blk 502, West Coast Drive, S(120502)",MK,HDB,40,0,40,4.2,1.31189,103.75908
Blk 503 West Coast Drive,"Blk 503, West Coast Drive, S(120503)",HC,HDB,80,80,0,4.2,1.31357,103.75622
Blk 505 Jurong West Street 52,"Blk 505, Jurong West Street 52, S(640505)",MHC,HDB,190,60,130,4.1,1.34958,103.71789
Blk 50A Marine Terrace,"Blk 50A, Marine Terrace, S(441050)",MHC,HDB,111,24,87,4,1.30573,103.91574
Blk 51 Old Airport Road,"Blk 51, Old Airport Road, S(390051)",MHC,HDB,222,168,54,4.4,1.30825,103.88581
Blk 511 Bedok North Street 3,"Blk 511, Bedok North Street 3, S(460511)",MHC,HDB,125,42,83,4.1,1.33342,103.93003
Blk 527 Ang Mo Kio Ave 10,"Blk 527, Ang Mo Kio Ave 10, S(560527)",MHC,HDB,150,50,100,4,1.37266,103.85433
Blk 538 Bedok North Street 3,"Blk 538, Bedok North Street 3, S(460538)",MHC,HDB,124,40,84,4,1.33186,103.925
Blk 58 New Upper Changi Road,"Blk 58, New Upper Changi Road, S(461058)",MHC,HDB,195,48,147,4.2,1.32422,103.94108
Blk 6 Tanjong Pagar Plaza,"Blk 6, Tanjong Pagar Plaza, S(081006)",MHC,HDB,104,52,52,4.6,1.275734,103.842735
Blk 628 Ang Mo Kio Ave 4,"Blk 628, Ang Mo Kio Ave 4, S(560628)",MHC,HDB,218,52,166,4.1,1.38105,103.84037
Blk 630 Bedok Reservoir Road,"Blk 630, Bedok Reservoir Road, S(470630)",MHC,HDB,111,36,75,3.9,1.33293,103.91438
Blk 69 Geylang Bahru,"Blk 69, Geylang Bahru, S(330069)",MHC,HDB,211,84,127,4.1,1.32146,103.87001
Blk 7 Empress Road,"Blk 7, Empress Road, S(260007)",MHC,HDB,108,40,68,4,1.31625,103.80564
Blk 724 Ang Mo Kio Ave 6,"Blk 724, Ang Mo Kio Ave 6, S(560724)",MHC,HDB,123,45,78,4.1,1.37218,103.84656
Blk 726 Clementi West Street 2,"Blk 726, Clementi West Street 2, S(120726)",MHC,HDB,195,60,135,4.1,1.30378,103.76426
Blk 74 Toa Payoh Lorong 4,"Blk 74, Lorong 4 Toa Payoh, S(310074)",MHC,HDB,90,10,80,3.7,1.33455,103.852
Blk 75 Toa Payoh Lorong 5,"Blk 75, Lorong 5 Toa Payoh, S(310075)",HC,HDB,36,36,0,4.2,1.33593,103.85309
Blk 79 Redhill Lane,"Blk 79, Redhill Lane, S(150079)",MK,HDB,122,0,122,4.1,1.28802,103.81807
