X,Y,Name,description,HYPERLINK,POSTALCODE,KEEPERNAME,TOTALROOMS,ADDRESS,INC_CRC,FMEL_UPD_D,DESCRIPTION2,NAME2
103.839224077005,1.30050954183517,JEN Singapore Orchardgateway by Shangri-La,,singaporeorchardgateway@hoteljen.com,"238858",Kuok Oon Kwong,"499","277 Orchard Road , # 10-01",BE1CAD1F9EA0CAE3,"20210128110627",,
103.823912360589,1.3042705309298,JEN Singapore Tanglin by Shangri-La,,singaporetanglin@hoteljen.com,"249716",Kuok Oon Kwong,"565",1A Cuscaden Road,B5529ACF9E6012E4,"20210128110627",,
103.877460163672,1.311585869313,JH HOTEL,,anguskt@gmail.com,"399041",CHEN ZHIQIONG,"42",8 LORONG 10 GEYLANG,A22CE6E92D6AEBF0,"20210128110627",,
103.844455112735,1.297722839747,Ji Hotel Orchard Singapore,,,"238485",Koo Sheuan,"81",11 PENANG LANE INNOTEL,66BD9D0F880BBBD4,"20210128110627",,
103.87880673682,1.31022734045131,Jin Dong Hotel,,,"399007",ong kum fatt,"33",33 Lorong 12 Geylang,D7209ADD0712A1B6,"20210128110627",,
103.873959999289,1.31118301196188,Joyfor Singapore,,joyfor.sg@gmail.com,"389226",Koo Seck Chong,"17",135 Geylang Road,D30116664B182FD0,"20210128110627",,
103.855516058723,1.29465290571138,JW Marriott Hotel Singapore South Beach,,jw.sinjw.contactus@marriott.com,"189763",STEPHANE LOUIS FABREGOUL,"634",30 Beach Road,7A601D8BEC62E672,"20210128110627",,
103.876502260862,1.30999424174174,K Hotel,,,"399199",CAI WENCHAO,"56",44 LORONG 6 GEYLANG,0BE03789A9C46C8B,"20210128110627",,
103.904574228644,1.30485336795088,Holiday Inn Express Singapore Katong,,,"423371",Adel Aramouni,"451","88 EAST COAST ROAD, # 07-05 KATONG SQUARE",5849E01E116E3183,"20210128110627",,
103.836680368343,1.30322795583465,Holiday Inn Express Singapore Orchard Road,,info.sinex@ihg.com,"229921",Najeeb Kurungottu,"221",20 Bideford Road,1E17B0CDF1E7CDA8,"20210128110627",,
103.858630348608,1.31014109037569,Holiday Inn Express Singapore Serangoon,,,"209019",Garside Ashleigh Maree,"119",270 JALAN BESAR,F42B9FBA63112392,"20210128110627",,
103.834068286993,1.28907019166027,Holiday Inn Singapore Atrium,,hiatrium@ichotelsgroup.com,"169075",Tuncay Bockin,"518",317 Outram Road,11EF65BD203685B9,"20210128110627",,
