"","area","long","lat"
"1","Ang Mo Kio",103.842847772078,1.36582089504381
"2","Bedok",103.927900348438,1.32449197461735
"3","Bishan",103.83629822663,1.36517069591469
"4","Boon Lay",103.705160843279,1.33931887790074
"5","Bukit Batok",103.750814976123,1.34987406192884
"6","Bukit Merah",103.817211265363,1.28204476688405
"7","Bukit Panjang",103.759301766031,1.37179041569677
"8","Bukit Timah",103.771684082899,1.34048917576879
"9","Changi",103.949352499034,1.34069006688175
"10","Choa Chu Kang",103.695087601092,1.37698423514519
"11","Clementi",103.767515486819,1.3235528694581
"12","City",103.847281906588,1.28780399098668
"13","Geylang",103.876061823534,1.31246741381246
"14","Hougang",103.87945025083,1.37566728348409
"15","Jalan Bahar",103.692810658991,1.35175189720415
"16","Jurong East",103.732570156371,1.3468080909852
"17","Jurong Island",103.696745192489,1.26658663618574
"18","Jurong West",103.708087536145,1.34160507461199
"19","Kallang",103.872800894771,1.32192623597067
"20","Lim Chu Kang",103.704222285092,1.42806779226264
"21","Mandai",103.790898677108,1.41670754115293
"22","Marine Parade",103.927924007858,1.32613049575596
"23","Novena",103.842687109323,1.32190879159509
"24","Pasir Ris",103.941992893826,1.38792722885382
"25","Paya Lebar",103.890239980461,1.32982631342462
"26","Pioneer",103.697796583297,1.33262087153041
"27","Pulau Tekong",104.03707746787,1.43892402664476
"28","Pulau Ubin",103.97591782415,1.41250901343404
"29","Punggol",103.913464112129,1.39360624783797
"30","Queenstown",103.808526495841,1.29711842265222
"31","Seletar",103.868284405834,1.40011513983478
"32","Sembawang",103.821107595609,1.4196747903438
"33","Sengkang",103.895993165818,1.39167532828849
"34","Sentosa",103.827328911126,1.25055881843172
"35","Serangoon",103.854628210725,1.31121073857189
"36","Sungei Kadut",103.748507194698,1.41726952737571
"37","Tampines",103.954010279015,1.35214194752099
"38","Tanglin",103.826890935941,1.323355249291
"39","Tengah",103.712634680938,1.37796277971411
"40","Toa Payoh",103.855494739602,1.33327332365117
"41","Tuas",103.652208660421,1.31720416812204
"42","Woodlands",103.804329417963,1.43357568988365
"43","Yishun",103.836789569146,1.43071857830265
